REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
R794,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7304.6,2051.3,180,NO
R795,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,1433,6373,90,NO
R796,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,6744.23,4088.72,270,NO
R797,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7503.2,1392,180,NO
R798,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,8367.82,1235.49,270,YES
R799,"Q_RES_0402LF-2K,1%,1/16W,CHIP,A",2K,1%,R0402,6178.47,8642.64,180,YES
R801,"Q_RES_0402LF-1K,1%,1/16W,CHIP,A",1K,1%,R0402,6305.53,8888.36,180,NO
R802,"Q_RES_0402LF-1K,1%,1/16W,CHIP,A",1K,1%,R0402,6250.47,8643.36,180,NO
R803,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,6176.13,8395.54,180,NO
R804,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,6095.54,8263.87,90,NO
R805,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,1432.64,6480.04,90,NO
R806,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,6176.54,8436.87,0,NO
R807,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,1436.36,6889.04,90,NO
R808,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7304.6,2011.3,180,NO
R809,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,1437.64,6972.27,90,NO
R810,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,8086.71,1610.38,270,NO
R811,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,3028.22,7390.77,180,NO
R812,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,6784.23,4088.72,270,NO
R813,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7503.2,1352,180,NO
R814,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,5767.54,8432.87,180,NO
R815,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,3500.77,7385.28,90,NO
R816,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,6646.03,3630.92,270,NO
R817,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,2426.8,7343.3,90,NO
R818,"Q_RES_0402LF-27.4,1%,1/16W ,CHA",27.4,1%,R0402,5767.54,8339.87,180,NO
R819,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7304.6,1971.3,180,NO
R820,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,4575.72,9084.51,0,YES
R821,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7499.8,1311.9,180,NO
R822,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,4730.73,8847.64,180,YES
R823,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,6699.23,4088.28,270,NO
R824,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,4730.73,8891.64,180,YES
R825,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7304.6,1931.3,180,NO
R826,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,7503.2,1222,0,NO
R827,"Q_RES_0402LF-240,5%,1/16W,CHIPA",240,5%,R0402,3064.03,227.32,270,NO
R828,"Q_RES_0402LF-10,5%,1/16W,CHIP,A",10,5%,R0402,2909.68,115.83,0,NO
R829,"Q_RES_0402LF-10,5%,1/16W,CHIP,A",10,5%,R0402,2909.48,75.49,0,NO
R830,"Q_RES_0402LF-240,5%,1/16W,CHIPA",240,5%,R0402,3109.03,227.32,270,NO
R831,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4818.73,8847.64,180,YES
R832,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4706.73,8721.64,0,NO
R833,"Q_RES_0402LF-49.9     ,1%  ,1/A",49.9,1%,R0402,7304.6,1891.3,180,NO
R834,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,7503.2,1142,180,NO
R835,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,4672.27,7171.64,0,YES
R836,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4818.73,8891.64,180,YES
R837,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4818.73,8757.64,180,YES
R838,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,7619.81,2805.3,90,NO
R839,"Q_RES_0402LF-1K,1%,1/16W,CHIP,A",1K,1%,R0402,6965,1593.8,0,NO
R840,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4639,8595.32,270,NO
R841,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4818.73,8801.64,180,YES
R842,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,6965,1513.8,0,NO
R843,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4819.03,8931.84,180,YES
R844,"Q_RES_0402LF-150,5%,1/16W,CHIPA",150,5%,R0402,6965,1313.8,0,NO
R845,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,4639,8590,90,YES
R846,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,6965,1233.8,0,NO
R847,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,5233.28,1187.83,0,NO
R848,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,5737.41,9914.63,0,NO
R849,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,9404.98,2203.25,0,YES
R850,"Q_RES_0402LF-1K,5%,1/16W,CHIP,A",1K,5%,R0402,5737.41,9954.63,0,NO
R851,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,7287.56,913.23,180,NO
R852,"Q_RES_0402LF-150,5%,1/16W,CHIPA",150,5%,R0402,10197.23,1469.86,180,NO
R853,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,5233.28,1145.83,0,NO
R854,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,5174.23,1204.88,270,NO
R858,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,7834.58,2353.81,180,YES
R859,"Q_RES_0402LF-32.4K,1%,1/16W,EMA",32.4K,1%,R0402,6107,10107,270,NO
R860,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,5173.77,1132.88,90,NO
R861,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,3223.21,7293.28,90,NO
R862,"Q_RES_0402LF-1K,1%,1/16W,CHIP,A",1K,1%,R0402,3936.13,7549.66,0,YES
R863,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,3232.05,7135.6,180,NO
R864,"Q_RES_0402LF-240,1%,1/16W,EMPTA",240,1%,R0402,3585.05,486.77,270,YES
R865,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,3850.73,7574.86,0,YES
R866,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,4416.73,7618.36,180,YES
R867,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,3850.73,7614.86,0,YES
R868,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,2785.09,486.77,270,YES
R869,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,2957.94,7325.51,90,NO
R870,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,4416.73,7658.36,180,YES
R871,"Q_RES_0402LF-49.9     ,1%  ,1/B",49.9,1%,R0402,3872.33,7686.16,90,YES
R872,"Q_RES_0402LF-100,1%,1/16W,CHIPA",100,1%,R0402,3912.33,7686.16,270,YES
R873,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,4416.73,7698.36,180,YES
R874,"Q_RES_0402LF-150,1%,1/16W,CHIPA",150,1%,R0402,3964.2,7829.11,180,YES
R875,"Q_RES_0402LF-33,5%,1/16W,CHIP,A",33,5%,R0402,4416.73,7738.36,180,YES
R876,"Q_RES_0402LF-4.7K,5%,1/16W,CHIA",4.7K,5%,R0402,3028.23,7089.28,270,YES
R877,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,1258.78,1529.13,0,NO
R878,"Q_RES_0402LF-150,5%,1/16W,CHIPA",150,5%,R0402,8860.96,6188.38,0,YES
R879,"Q_RES_0402LF-4.7K,5%,1/16W,EMPA",4.7K,5%,R0402,2753.13,7303.64,270,NO
R880,"Q_RES_0402LF-240,5%,1/16W,CHIPA",240,5%,R0402,1754.22,1532.97,180,NO
R881,"Q_RES_0402LF-49.9     ,1%  ,1/B",49.9,1%,R0402,2708.13,7303.64,90,NO
R882,"Q_RES_0402LF-10,5%,1/16W,CHIP,A",10,5%,R0402,1645.22,1536.67,180,NO
R883,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,1150.22,1516.67,180,NO
R884,"Q_RES_0402LF-0,5%,1/16W,CHIP,CA",0,5%,R0402,2508.23,7160.64,90,NO
R885,"Q_RES_0402LF-0,5%,1/16W,EMPTY,A",0,5%,R0402,2514.83,7232.74,270,NO
R886,"Q_RES_0402LF-49.9     ,1%  ,1/B",49.9,1%,R0402,2708.13,7232.84,270,NO
R887,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,7481.77,5891.28,90,NO
R888,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,1258.78,1569.13,0,NO
R889,"Q_RES_0402LF-10,5%,1/16W,CHIP,A",10,5%,R0402,1645.22,1576.67,180,NO
R890,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,1150.22,1556.67,180,NO
R891,"Q_RES_0402LF-49.9     ,1%  ,1/B",49.9,1%,R0402,2798.13,7241.04,270,NO
R892,"Q_RES_0402LF-10K,5%,1/16W,CHIPA",10K,5%,R0402,1611.12,7151.87,270,YES
R893,"Q_RES_0402LF-240,5%,1/16W,CHIPA",240,5%,R0402,1774.62,1576.37,180,NO
R894,"Q_RES_0402LF-49.9     ,1%  ,1/B",49.9,1%,R0402,2753.13,7232.84,270,NO
R895,"Q_RES_0402LF-22       ,5%  ,1/A",22,5%,R0402,10980,5734,180,NO
R896,"Q_RES_0402LF-665,1%,1/16W,CHIPA",665,1%,R0402,7480.23,5964.72,270,NO
